age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,balance_numeric
58,management,married,tertiary,no,2143,yes,no,cellular,5,may,261,1,-1,0,unknown,no,2143.0
35,management,married,tertiary,no,231,yes,no,cellular,5,may,139,1,-1,0,unknown,no,231.0
28,management,single,tertiary,no,447,yes,yes,cellular,5,may,217,1,-1,0,unknown,no,447.0
43,technician,single,secondary,no,593,yes,no,cellular,5,may,55,1,-1,0,unknown,no,593.0
41,admin.,divorced,secondary,no,270,yes,no,cellular,5,may,222,1,-1,0,unknown,no,270.0
29,admin.,single,secondary,no,390,yes,no,cellular,5,may,137,1,-1,0,unknown,no,390.0
51,retired,married,primary,no,229,yes,no,cellular,5,may,353,1,-1,0,unknown,no,229.0
28,blue-collar,married,secondary,no,723,yes,yes,cellular,5,may,262,1,-1,0,unknown,no,723.0
56,management,married,tertiary,no,779,yes,no,cellular,5,may,164,1,-1,0,unknown,no,779.0
39,management,single,tertiary,no,255,yes,no,cellular,5,may,296,1,-1,0,unknown,no,255.0
36,technician,single,secondary,no,265,yes,yes,cellular,5,may,348,1,-1,0,unknown,no,265.0
57,technician,married,secondary,no,839,no,yes,cellular,5,may,225,1,-1,0,unknown,no,839.0
49,management,married,tertiary,no,378,yes,no,cellular,5,may,230,1,-1,0,unknown,no,378.0
36,admin.,divorced,secondary,no,506,yes,no,cellular,5,may,577,1,-1,0,unknown,no,506.0
44,services,divorced,secondary,no,2586,yes,no,cellular,5,may,160,1,-1,0,unknown,no,2586.0
54,retired,married,secondary,no,529,yes,no,cellular,5,may,1492,1,-1,0,unknown,no,529.0
38,entrepreneur,single,tertiary,no,243,no,yes,cellular,5,may,174,1,-1,0,unknown,no,243.0
38,management,single,tertiary,no,424,yes,no,cellular,5,may,104,1,-1,0,unknown,no,424.0
47,blue-collar,married,unknown,no,306,yes,no,cellular,5,may,13,1,-1,0,unknown,no,306.0
53,technician,divorced,secondary,no,989,yes,no,cellular,5,may,812,1,-1,0,unknown,no,989.0
57,blue-collar,married,primary,no,249,yes,no,cellular,5,may,164,1,-1,0,unknown,no,249.0
33,services,married,secondary,no,790,yes,no,cellular,5,may,391,1,-1,0,unknown,no,790.0
51,management,married,tertiary,no,6530,yes,no,cellular,5,may,91,1,-1,0,unknown,no,6530.0
57,blue-collar,married,secondary,no,5935,yes,yes,cellular,5,may,258,1,-1,0,unknown,no,5935.0
54,management,married,secondary,no,282,yes,yes,cellular,5,may,154,1,-1,0,unknown,no,282.0
53,technician,married,secondary,no,384,yes,no,cellular,5,may,176,1,-1,0,unknown,no,384.0
44,blue-collar,married,secondary,no,582,no,yes,cellular,5,may,211,1,-1,0,unknown,no,582.0
45,admin.,single,secondary,no,206,yes,no,cellular,5,may,193,1,-1,0,unknown,no,206.0
42,technician,single,secondary,no,690,yes,no,cellular,5,may,20,1,-1,0,unknown,no,690.0
59,admin.,married,secondary,no,2343,yes,no,cellular,5,may,1042,1,-1,0,unknown,yes,2343.0
57,retired,married,secondary,no,486,yes,no,cellular,5,may,180,2,-1,0,unknown,no,486.0
60,admin.,married,secondary,no,290,yes,no,cellular,5,may,583,1,-1,0,unknown,no,290.0
55,blue-collar,married,secondary,no,383,no,no,cellular,5,may,287,1,-1,0,unknown,no,383.0
46,management,married,tertiary,no,229,yes,no,cellular,5,may,197,1,-1,0,unknown,no,229.0
